Attack 9 10	
ordnance B-Exploding NN B-Instrument
today B-Time NN B-Time-Within

Injure 3 4	Victim 6 7	
the O DT O
consequence O NN O
of O IN O
injuring O VBG B-Injure-T
or O CC O
hurting O VBG O
someone B-Individual NN B-Victim
who B-Individual WP O
is O VBZ O
friendly O JJ O
or O CC O
nonparticipant O JJ O
in O IN O
combat O NN O
is O VBZ O
very O RB O
difficult O JJ O
to O TO O
deal O VB O
with O IN O

Attack 14 15	Time-Before 0 7	Instrument 11 12	
soon B-Time RB B-Time-Before
after I-Time IN I-Time-Before
dawn I-Time NN I-Time-Before
on I-Time IN I-Time-Before
this B-Time DT I-Time-Before
fourth I-Time JJ I-Time-Before
day I-Time NN I-Time-Before
, O , O
confirmation O NN O
of O IN O
the O DT O
ship B-Water NN B-Instrument
's O POS O
first O JJ O
strike O NN B-Attack-T

Attack 7 8	Instrument 5 6	
on O IN O
highest O JJS O
alert O JJ O
as O IN O
a O DT O
carrier B-Water NN B-Instrument
at O IN O
war O NN B-Attack-T

Attack 30 31	Attacker 31 32	
we B-Group PRP O
had O VBD O
f-14 B-Air JJ O
aircraft B-Air NN O
drop O NN O
laser-guided O VBD O
bombs B-Exploding NNS O
, O , O
f-18s B-Air JJ O
drop O NN O
joint B-Exploding JJ O
direct I-Exploding JJ O
attack I-Exploding NN O
munitions I-Exploding NNS O
or O CC O
j-dam B-Exploding NN O
weapons B-Exploding NNS O
into O IN O
eastern O JJ O
afghanistan B-Region-General NN O
today B-Time NN O
this O DT O
is O VBZ O
the O DT O
first O JJ O
of O IN O
an O DT O
unknown O JJ O
number O NN O
of O IN O
strikes O NNS B-Attack-T
we B-Group PRP B-Attacker
'll O MD O
conduct O VB O
during O IN O
our B-Group PRP$ O
watch O NN O
in O IN O
`` O `` O
operation O NN O
enduring O JJ O
freedom O NN O

Injure 5 6	Victim 6 7	
the O DT O
consequence O NN O
of O IN O
injuring O VBG O
or O CC O
hurting O VBG B-Injure-T
someone B-Individual NN B-Victim
who B-Individual WP O
is O VBZ O
friendly O JJ O
or O CC O
nonparticipant O JJ O
in O IN O
combat O NN O
is O VBZ O
very O RB O
difficult O JJ O
to O TO O
deal O VB O
with O IN O

Attack 20 21	Place 13 15	Instrument 19 20	Time-Within 21 22	
mike B-Individual NN O
hanna I-Individual NN O
in O IN O
jerusalem B-Population-Center NN O
, O , O
but O CC O
first O RB O
, O , O
going O VBG O
to O TO O
kelly B-Individual VB O
wallace I-Individual NN O
in O IN O
kba B-Population-Center NN B-Place
sda I-Population-Center NN I-Place
where B-Population-Center WRB O
there O EX O
's O VBZ O
more O JJR O
helicopter B-Air NN B-Instrument
attacks O NNS B-Attack-T
tonight B-Time NN B-Time-Within

Die 4 5	Victim 2 3	
at O IN O
least O JJS O
70 B-Group CD B-Victim
were O VBD O
injured O VBN B-Die-T

Die 4 5	Agent 3 4	Victim 6 7	Place 8 9	
shortly O RB O
afterward O RB O
, O , O
israel B-Nation NN B-Agent
killed O VBD B-Die-T
seven O CD O
people B-Group NNS B-Victim
in O IN O
gaza B-Region-General NN B-Place
, O , O
two B-Group CD O
of O IN O
them B-Group PRP O
members B-Group NNS O
of O IN O
hamas B-Non-Governmental NNS O

Attack 13 14	Instrument 12 13	Target 16 17	Place 18 19	Time-Within 19 20	
president B-Individual NN O
bush B-Individual NN O
called O VBN O
upon O IN O
the O DT O
world B-Celestial NN O
to O TO O
stop O VB O
terrorism O NN O
after O IN O
a O DT O
suicide O NN O
bomb B-Exploding NN B-Instrument
attack O NN B-Attack-T
on O IN O
a O DT O
bus B-Land NN B-Target
in O IN O
jerusalem B-Population-Center NN B-Place
today B-Time NN B-Time-Within

Die 3 4	Victim 1 2	
16 O CD O
people B-Group NNS B-Victim
were O VBD O
killed O VBN B-Die-T

Die 9 10	Agent 0 1	Victim 11 13	Place 26 27	
malvo B-Individual NN B-Agent
on O IN O
trial O NN O
here B-County-or-District RB O
in O IN O
fairfax B-County-or-District NN O
county I-County-or-District NN O
for O IN O
the B-Crime DT O
murder I-Crime NN B-Die-T
of I-Crime IN O
linda B-Individual NN B-Victim
franklin I-Individual NN I-Victim
, I-Crime , O
the I-Crime DT O
fbi B-Government NN O
analyst B-Individual NN O
who B-Individual WP O
was I-Crime VBD O
gunned I-Crime VBN O
down I-Crime RP O
in I-Crime IN O
a I-Crime DT O
home B-Commercial NN O
depot I-Commercial NN O
parking I-Crime NN O
lot I-Crime NN B-Place

Attack 19 21	Attacker 0 1	Target 11 13	Place 26 27	
malvo B-Individual NN B-Attacker
on O IN O
trial O NN O
here B-County-or-District RB O
in O IN O
fairfax B-County-or-District NN O
county I-County-or-District NN O
for O IN O
the B-Crime DT O
murder I-Crime NN O
of I-Crime IN O
linda B-Individual NN B-Target
franklin I-Individual NN I-Target
, I-Crime , O
the I-Crime DT O
fbi B-Government NN O
analyst B-Individual NN O
who B-Individual WP O
was I-Crime VBD O
gunned I-Crime VBN B-Attack-T
down I-Crime RP I-Attack-T
in I-Crime IN O
a I-Crime DT O
home B-Commercial NN O
depot I-Commercial NN O
parking I-Crime NN O
lot I-Crime NN B-Place

Attack 8 9	Place 9 10	
that O DT O
's O VBZ O
just O RB O
one O CD O
of O IN O
the O DT O
ten O CD O
sniper B-Individual NN O
shootings O NNS B-Attack-T
here B-Population-Center RB B-Place
in O IN O
the O DT O
greater O JJR O
washington B-Population-Center NN O
area B-Region-General NN O

Attack 5 6	
is O VBZ O
the O DT O
u.s. O JJ O
going O VBG O
to O TO O
war O NN B-Attack-T

Attack 18 19	
france B-Nation NN O
, O , O
germany B-Nation NN O
and O CC O
russia B-Nation NN O
plan O VBP O
a O DT O
showdown O NN O
at O IN O
theupups O NNS O
in O IN O
a O DT O
bid O NN O
to O TO O
stop O VB O
the O DT O
u.s. O NN O
's O POS O
war O NN B-Attack-T
machine O NN O
and O CC O
their B-Nation PRP$ O
voices O NNS O
of O IN O
dissent O NN O
echoed O VBN O
by O IN O
protestors B-Group NNS O
from O IN O
australia B-Nation NN O
to O TO O
egypt B-Nation VB O
to O TO O
university B-Educational NN O
students B-Group NNS O
right O RB O
here B-Nation RB O
in O IN O
the O DT O
united B-Nation JJ O
states I-Nation NNS O

Attack 9 10	
america B-Nation NN O
's O POS O
top O JJ O
diplomat B-Individual NN O
laid O VBN O
out O RP O
the O DT O
case O NN O
for O IN O
war O NN B-Attack-T

Attack 21 22	Attacker 11 12	
first O RB O
to O TO O
chris B-Individual NN O
burns I-Individual NNS O
with O IN O
news O NN O
on O IN O
the O DT O
president B-Individual NN O
and O CC O
the O DT O
secretary B-Individual NN B-Attacker
of O IN O
state B-Nation NN O
who B-Individual WP O
switched O VBD O
from O IN O
diplomacy O NN O
to O TO O
talk O VB O
of O IN O
war O NN B-Attack-T

Attack 26 27	Attacker 23 24	
later B-Time RB O
this I-Time DT O
hour I-Time NN O
i B-Individual FW O
'll O MD O
speak O VB O
exclusively O RB O
to O TO O
cardinal B-Individual JJ O
pio B-Individual NN O
laghi I-Individual NN O
, O , O
the O DT O
man B-Individual NN O
dismatched O VBN O
by O IN O
pope B-Individual NN O
john B-Individual NN O
paul I-Individual JJ O
ii I-Individual LS O
to O TO O
persuade O VB O
president B-Individual NN O
bush B-Individual NN B-Attacker
to O TO O
avoid O VB O
war O NN B-Attack-T
, O , O
but O CC O
we B-Media PRP O
begin O VBP O
with O IN O
reports O NNS O
from O IN O
the O DT O
united B-Non-Governmental VBN O
nations I-Non-Governmental NNS O
, O , O
the O DT O
pentagon B-Government NN O
and O CC O
the O DT O
white B-Nation JJ O
house I-Nation NN O

Attack 14 15	Attacker 7 8	Time-Within 16 17	
over O IN O
at O IN O
the O DT O
pentagon B-Government NN O
, O , O
the O DT O
military B-Government JJ O
leaders B-Group NNS B-Attacker
say O VBP O
that O IN O
troops B-Group NNS O
are O VBP O
ready O JJ O
to O TO O
fight O VB B-Attack-T
right O RB O
now B-Time RB B-Time-Within
even O RB O
as O IN O
they B-Group PRP O
await O VBP O
word O NN O
of O IN O
the O DT O
president B-Individual NN O
's O POS O
order O NN O
, O , O
but O CC O
there O EX O
is O VBZ O
major O JJ O
opposition O NN O
today B-Time NN O

Attack 12 13	Time-Within 19 23	
if O IN O
you B-Indeterminate PRP O
listen O VBP O
to O TO O
the O DT O
from O IN O
's O POS O
men B-Group NNS O
it O PRP O
sounds O VBZ O
like O IN O
the O DT O
battle O NN B-Attack-T
is O VBZ O
about O IN O
to O TO O
begin O VB O
, O , O
maybe O RB O
only B-Time JJ B-Time-Within
days I-Time NNS I-Time-Within
from I-Time IN I-Time-Within
now I-Time RB I-Time-Within

Meet 5 6	Time-Within 0 3	Entity 3 4	Entity 9 11	
later B-Time RB B-Time-Within
this I-Time DT I-Time-Within
hour I-Time NN I-Time-Within
i B-Individual FW B-Entity
'll O MD O
speak O VB B-Meet-T
exclusively O RB O
to O TO O
cardinal B-Individual JJ O
pio B-Individual NN B-Entity
laghi I-Individual NN I-Entity
, O , O
the O DT O
man B-Individual NN O
dismatched O VBN O
by O IN O
pope B-Individual NN O
john B-Individual NN O
paul I-Individual JJ O
ii I-Individual LS O
to O TO O
persuade O VB O
president B-Individual NN O
bush B-Individual NN O
to O TO O
avoid O VB O
war O NN O
, O , O
but O CC O
we B-Media PRP O
begin O VBP O
with O IN O
reports O NNS O
from O IN O
the O DT O
united B-Non-Governmental VBN O
nations I-Non-Governmental NNS O
, O , O
the O DT O
pentagon B-Government NN O
and O CC O
the O DT O
white B-Nation JJ O
house I-Nation NN O

Transport 1 2	Artifact 0 1	Destination 3 5	Time-Within 5 6	Origin 7 8	
luster B-Individual NN B-Artifact
returned O VBD B-Transport-T
to O TO O
los B-Population-Center NNS B-Destination
angeles I-Population-Center NNS I-Destination
yesterday B-Time NN B-Time-Within
from O IN O
mexico B-Nation NN B-Origin
following O VBG O
his B-Individual PRP$ O
capture O NN O
tuesday B-Time NNP O
by O IN O
american B-Nation NN O
bounlty O NN O
hunters B-Group NNS O

Attack 9 12	Agent 0 1	Victim 13 14	
luster B-Individual NN B-Agent
skipped O VBD O
bail O NN O
during O IN O
his B-Individual PRP$ O
trial O NN O
in O IN O
january B-Time NNP O
for O IN O
raping B-Crime VBG B-Attack-T
and I-Crime CC I-Attack-T
drugging I-Crime VBG I-Attack-T
three I-Crime CD O
women I-Crime NNS B-Victim

Meet 8 9	Entity 1 2	Place 12 13	Time-Holds 14 16	
80,000 O CD O
people B-Group NNS B-Entity
with O IN O
a O DT O
shared O JJ O
love O NN O
of O IN O
music O NN O
converge O VBP B-Meet-T
on O IN O
a O DT O
tennessee B-State-or-Province NN O
pasture B-Land-Region-Natural NN B-Place
for O IN O
three B-Time CD B-Time-Holds
days I-Time NNS I-Time-Holds
of O IN O
good O JJ O
vibes O NNS O
and O CC O
who B-Indeterminate WP O
knows O VBZ O
what O WP O
else O RB O

End-Position 7 8	Person 5 6	
usa B-Media NN O
today I-Media NN O
'' O '' O
says O VBZ O
the O DT O
pilots B-Group NNS B-Person
were O VBD O
dismissed O VBN B-End-Position-T
for O IN O
allegedly O RB O
taking O VBG O
off O RP O
all O DT O
or O CC O
most O JJS O
of O IN O
their B-Group PRP$ O
clothes O NNS O
in O IN O
the O DT O
cockpit B-Subarea-Vehicle NN O

End-Position 13 14	Person 12 13	
the O DT O
pilots B-Group NNS O
are O VBP O
calling O VBG O
the O DT O
sdebt O NN O
-- O : O
incident O NN O
a O DT O
misunderstanding O NN O
and O CC O
appealing O VBG O
their B-Group PRP$ B-Person
termination O NN B-End-Position-T

End-Position 6 7	Entity 1 3	Person 3 4	
two O CD O
southwest B-Commercial JJ B-Entity
airline I-Commercial NN I-Entity
pilots B-Group NNS B-Person
were O VBD O
reportedly O RB O
fired O VBN B-End-Position-T
for O IN O
stripping O VBG O
down O RP O

Transport 14 15	Time-Within 9 11	Agent 13 14	Destination 16 17	
there O EX O
's O VBZ O
a O DT O
concern O NN O
with O IN O
the O DT O
huge O JJ O
series O NN O
there B-Population-Center RB O
this B-Time DT B-Time-Within
weekend I-Time NN I-Time-Within
with O IN O
the O DT O
yankees B-Sports NNS B-Agent
coming O VBG B-Transport-T
to O TO O
town B-Population-Center NN B-Destination
that O WDT O
sammy B-Individual VBP O
would O MD O
be O VB O
suspended O VBN O
during O IN O
that O DT O

Attack 23 24	Attacker 0 1	Time-After 4 6	
we B-Group PRP B-Attacker
give O VBP O
mr. O NNP O
bush B-Individual JJ O
six B-Time CD B-Time-After
months I-Time NNS I-Time-After
to O TO O
get O VB O
things O NNS O
right O RB O
he B-Individual PRP O
says O VBZ O
, O , O
going O VBG O
on O IN O
to O TO O
explain O VB O
, O , O
if O IN O
not O RB O
, O , O
we B-Group PRP O
will O MD O
fight O VB B-Attack-T
the O DT O
americans B-Nation NNS O

Meet 4 5	Entity 0 1	Entity 6 7	
he B-Individual PRP B-Entity
's O VBZ O
willing O JJ O
to O TO O
talk O VB B-Meet-T
with O IN O
us B-Media PRP B-Entity
, O , O
but O CC O
not O RB O
be O VB O
interviewed O VBN O

Attack 3 4	
aziz B-Individual NN O
is O VBZ O
a O DT O
war O NN B-Attack-T
criminal B-Individual NN O
says O VBZ O
ahmed B-Individual IN O

Attack 17 18	
at O IN O
their B-Group PRP$ O
nearby O JJ O
store B-Building-Grounds NN O
, O , O
they B-Group PRP O
prepare O VBP O
to O TO O
open O VB O
for O IN O
their B-Group PRP$ O
first B-Time JJ O
day I-Time NN O
of O IN O
business O NN O
since O IN O
the O DT O
war O NN B-Attack-T

Transfer-Money 5 6	Recipient 0 1	Money 3 5	Giver 8 9	
he B-Individual PRP B-Recipient
seeped O VBD O
a O DT O
$ B-Money $ B-Money
960,000 I-Money CD I-Money
buyout O NN B-Transfer-Money-T
from O IN O
the O DT O
university B-Educational NN B-Giver

End-Position 19 20	Person 17 19	Position 21 23	Entity 24 26	
a B-Time DT O
week I-Time NN O
after O IN O
these O DT O
pictures O NNS O
surfaced O VBD O
, O , O
and O CC O
after O IN O
saying O VBG O
he B-Individual PRP O
'd O MD O
fight O VB O
for O IN O
his B-Individual PRP$ O
job O NN O
, O , O
larry B-Individual NN B-Person
eustachy I-Individual NN I-Person
resigned O VBD B-End-Position-T
as O IN O
basketball B-Job-Title NN B-Position
coach B-Individual NN I-Position
at O IN O
iowa B-Educational JJ B-Entity
state I-Educational NN I-Entity

Attack 55 56	Attacker 2 3	Place 32 33	
while O IN O
u.s. O JJ O
forces B-Group NNS B-Attacker
still O RB O
have O VBP O
n't O RB O
found O VBN O
any O DT O
weapons B-Underspecified NNS O
of O IN O
mass O NN O
destruction O NN O
, O , O
the O DT O
new B-Time JJ O
cia B-Government NN O
pentagon B-Government NN O
report O NN O
says O VBZ O
officials B-Group NNS O
are O VBP O
now B-Time RB O
confident O JJ O
the O DT O
mysterious O JJ O
trucks B-Land NNS O
filled O VBN O
with O IN O
high-tech O JJ O
equipment O NN O
found O VBN O
in O IN O
iraq B-Nation NN B-Place
are O VBP O
indeed O RB O
mobile O JJ O
biological O JJ O
weapons B-Biological NNS O
production O NN O
facilities B-Land NNS O
, O , O
just O RB O
as O IN O
secretary B-Individual NN O
of O IN O
state B-Government NN O
powell B-Individual NN O
predicted O VBD O
and O CC O
presented O VBD O
the O DT O
united B-Non-Governmental VBN O
nations I-Non-Governmental NNS O
before O IN O
the O DT O
war O NN B-Attack-T

Transport 6 7	Artifact 1 2	
the O DT O
president B-Individual NN B-Artifact
of O IN O
the O DT O
united B-Nation JJ O
states I-Nation NNS O
coming O VBG B-Transport-T
for O IN O
a O DT O
brief O JJ O
two-day B-Time JJ O
summit O NN O
with O IN O
the O DT O
british B-Nation JJ O
prime O JJ O
minister B-Individual NN O
tony B-Individual JJ O
blair I-Individual NN O

Attack 11 12	Instrument 4 5	
it B-Land PRP O
's O VBZ O
cannon B-Shooting NN O
, O , O
it B-Land PRP B-Instrument
's O VBZ O
ability O NN O
to O TO O
implace O VB O
troops B-Group NNS O
and O CC O
fire O NN B-Attack-T
through O IN O
the O DT O
firing O NN O
ports O NNS O
in O IN O
that O DT O
bradley B-Land NN O
vehicle I-Land NN O
to O TO O
take O VB O
them B-Group PRP O
in O IN O
under O IN O
protection O NN O

Meet 18 20	Entity 11 12	Entity 15 16	
this O DT O
is O VBZ O
the B-Time DT O
third I-Time JJ O
time I-Time NN O
in I-Time IN O
as I-Time RB O
many I-Time JJ O
weeks I-Time NNS O
that O WDT O
president B-Individual NN O
bush B-Individual NN B-Entity
and O CC O
prime O JJ O
minister B-Individual NN O
blair B-Individual NN B-Entity
will O MD O
be O VB O
sitting O VBG B-Meet-T
down O RP I-Meet-T
to O TO O
review O VB O
station O NN O
, O , O
war O NN O
strategy O NN O
, O , O
as O IN O
they B-Group PRP O
go O VBP O
forward O RB O
together O RB O

Meet 11 12	Entity 1 2	Time-Holds 10 11	Entity 17 19	
the O DT O
president B-Individual NN B-Entity
of O IN O
the O DT O
united B-Nation JJ O
states I-Nation NNS O
coming O VBG O
for O IN O
a O DT O
brief O JJ O
two-day B-Time JJ B-Time-Holds
summit O NN B-Meet-T
with O IN O
the O DT O
british B-Nation JJ O
prime O JJ O
minister B-Individual NN O
tony B-Individual JJ B-Entity
blair I-Individual NN I-Entity

Attack 15 16	Attacker 1 2	Target 17 18	
what O WP O
they B-Group PRP B-Attacker
're O VBP O
doing O VBG O
is O VBZ O
going O VBG O
in O IN O
now B-Time RB O
, O , O
very O RB O
carefully O RB O
, O , O
obviously O RB O
some O DT O
symbolic O JJ O
raids O NNS B-Attack-T
against O IN O
palaces B-Building-Grounds NNS B-Target

Transport 10 12	Vehicle 7 10	Destination 13 14	
as O IN O
we B-Group PRP O
watched O VBD O
this O DT O
picture O NN O
of O IN O
the O DT O
air B-Air NN B-Vehicle
force I-Air NN I-Vehicle
one I-Air CD I-Vehicle
getting O VBG B-Transport-T
into O IN I-Transport-T
this O DT O
airport B-Airport NN B-Destination
i B-Individual FW O
want O VBP O
to O TO O
bring O VB O
in O RP O
our B-Media PRP$ O
military O JJ O
analyst B-Individual NN O
general B-Individual JJ O
dan B-Individual NN O
crisman I-Individual NN O
to O TO O
go O VB O
over O IN O
what O WP O
happens O VBZ O
happening O VBG O
in O IN O
baghdad B-Population-Center NN O

Attack 24 25	
this O DT O
is O VBZ O
the B-Time DT O
third I-Time JJ O
time I-Time NN O
in I-Time IN O
as I-Time RB O
many I-Time JJ O
weeks I-Time NNS O
that O WDT O
president B-Individual NN O
bush B-Individual NN O
and O CC O
prime O JJ O
minister B-Individual NN O
blair B-Individual NN O
will O MD O
be O VB O
sitting O VBG O
down O RP O
to O TO O
review O VB O
station O NN O
, O , O
war O NN B-Attack-T
strategy O NN O
, O , O
as O IN O
they B-Group PRP O
go O VBP O
forward O RB O
together O RB O

Attack 33 34	Attacker 23 24	Target 35 36	Place 41 42	
they B-Group PRP O
're O VBP O
going O VBG O
to O TO O
be O VB O
defended O VBN O
fanatically O RB O
but O CC O
intelligence O NN O
is O VBZ O
so O RB O
crucial O JJ O
from O IN O
aerial O JJ O
platforms B-Building-Grounds NNS O
and O CC O
special O JJ O
ops O NNS O
personnel B-Group NNS O
to O TO O
give O VB O
the O DT O
three O CD O
assets B-Group NNS B-Attacker
the O DT O
intel O NN O
which O WDT O
they B-Group PRP O
need O VBP O
to O TO O
close O VB O
with O IN O
and O CC O
eliminate O VB B-Attack-T
final O JJ O
remnants B-Group NNS B-Target
of O IN O
the O DT O
regime B-Government NN O
in O IN O
those O DT O
citys B-Population-Center NNS B-Place

End-Position 15 16	Person 1 2	Entity 5 6	Position 11 12	
the O DT O
head B-Individual NN B-Person
of O IN O
the O DT O
catholic B-Religious JJ O
church B-Religious NN B-Entity
in O IN O
phoenix B-Population-Center NN O
, O , O
arizona B-State-or-Province NN O
, O , O
bishop B-Individual NN B-Position
thomas B-Individual NNS O
o'brien I-Individual NNP O
has O VBZ O
resigned O VBN B-End-Position-T

Die 9 10	
he B-Individual PRP O
is O VBZ O
accused O VBN O
of O IN O
leaving O VBG O
the O DT O
scene O NN O
of O IN O
a O DT O
fatal O JJ B-Die-T
accident O NN O

Attack 7 8	Target 2 3	Target 11 13	
ozzy B-Individual NN O
's O POS O
wife B-Individual NN B-Target
reportedly O RB O
got O VBD O
into O IN O
a O DT O
fight O NN B-Attack-T
with O IN O
hollywood B-Commercial NN O
agent B-Individual NN O
renee B-Individual NN B-Target
tab I-Individual NN I-Target

Attack 10 11	Target 4 5	
osbourne B-Individual NN O
's O POS O
spokeswomen B-Individual NNS O
says O VBZ O
sharon B-Individual NN B-Target
was O VBD O
quote O NN O
, O , O
`` O `` O
viciously O RB O
assaulted O VBN B-Attack-T
and O CC O
treated O VBN O
at O IN O
a O DT O
hospital B-Building-Grounds NN O

Transport 4 5	Artifact 2 3	Destination 7 8	Artifact 14 15	
to O TO O
mark O VB O
his B-Individual PRP$ B-Artifact
historic O JJ O
climb O NN B-Transport-T
to O TO O
the O DT O
top B-Land-Region-Natural NN B-Destination
of O IN O
mt B-Land-Region-Natural NN O
. I-Land-Region-Natural . O
everest I-Land-Region-Natural NN O
with O IN O
sherpa B-Individual NN O
norgay B-Individual NN B-Artifact

Die 3 4	Victim 1 2	Place 10 13	
175 O CD O
people B-Group NNS B-Victim
have O VBP O
died O VBN B-Die-T
trying O VBG O
to O TO O
reach O VB O
the O DT O
summit B-Land-Region-Natural NN O
of O IN O
mt B-Land-Region-Natural NN B-Place
. I-Land-Region-Natural . I-Place
everest I-Land-Region-Natural NN I-Place

Transport 6 7	Artifact 1 2	Destination 8 9	
175 O CD O
people B-Group NNS B-Artifact
have O VBP O
died O VBN O
trying O VBG O
to O TO O
reach O VB B-Transport-T
the O DT O
summit B-Land-Region-Natural NN B-Destination
of O IN O
mt B-Land-Region-Natural NN O
. I-Land-Region-Natural . O
everest I-Land-Region-Natural NN O

Transport 13 14	Artifact 14 15	Destination 17 18	
what O WDT O
i B-Individual FW O
should O MD O
tell O VB O
you B-Indeterminate PRP O
is O VBZ O
there O EX O
are O VBP O
about O RB O
15 O CD O
possible O JJ O
routes O NNS O
to O TO O
get O VB B-Transport-T
you B-Indeterminate PRP B-Artifact
to O TO O
the O DT O
top B-Land-Region-Natural NN B-Destination
of O IN O
mt B-Land-Region-Natural NN O
. I-Land-Region-Natural . O
everest I-Land-Region-Natural NN O

Attack 18 19	Time-Within 7 13	Place 22 23	
as O IN O
we B-Media PRP O
've O VBP O
been O VBN O
reporting O VBG O
, O , O
only O RB O
within B-Time IN B-Time-Within
the I-Time DT I-Time-Within
past I-Time JJ I-Time-Within
hour I-Time NN I-Time-Within
or I-Time CC I-Time-Within
so I-Time RB I-Time-Within
, O , O
there O EX O
's O VBZ O
been O VBN O
a O DT O
shooting O NN B-Attack-T
incident O NN O
in O IN O
central O JJ O
israel B-Region-General NN B-Place
, O , O
not O RB O
far O RB O
from O IN O
the O DT O
west B-Region-General NN O
bank I-Region-General NN O

Attack 15 16	Attacker 1 2	
two O CD O
others B-Group NNS B-Attacker
, O , O
her B-Individual PRP$ O
father B-Individual NN O
apparently O RB O
and O CC O
another O DT O
sister B-Individual NN O
, O , O
have O VBP O
been O VBN O
wounded O VBN O
in O IN O
this O DT O
incident O NN B-Attack-T

Die 5 6	Victim 3 4	
a O DT O
7-year-old B-Time JJ O
israeli B-Nation JJ O
girl B-Individual NN B-Victim
has O VBZ O
died O VBN B-Die-T

Injure 12 13	Victim 1 2	
two O CD O
others B-Group NNS B-Victim
, O , O
her B-Individual PRP$ O
father B-Individual NN O
apparently O RB O
and O CC O
another O DT O
sister B-Individual NN O
, O , O
have O VBP O
been O VBN O
wounded O VBN B-Injure-T
in O IN O
this O DT O
incident O NN O

Meet 5 6	Entity 1 2	Entity 8 9	
has O VBZ O
somebody B-Individual NN B-Entity
from O IN O
your B-Individual PRP$ O
magazine B-Media NN O
spent O VBD B-Meet-T
time O NN O
with O IN O
him B-Individual PRP B-Entity

Meet 1 2	Entity 0 1	Entity 5 6	
he B-Individual PRP B-Entity
spent O VBD B-Meet-T
time O NN O
with O IN O
this O DT O
guy B-Individual NN B-Entity
and O CC O
there O EX O
was O VBD O
stockholm B-Population-Center NN O
syndrome O NN O
, O , O
he B-Individual PRP O
ended O VBD O
up O RP O
liking O VBG O
the O DT O
guy B-Individual NN O

Transport 4 5	Vehicle 3 4	Artifact 5 6	Time-Within 7 9	Destination 15 16	
a O DT O
russian B-Nation JJ O
soyuz B-Air NN O
capsule B-Air NN B-Vehicle
dropped O VBD B-Transport-T
them B-Group PRP B-Artifact
off O RP O
this B-Time DT B-Time-Within
morning I-Time NN I-Time-Within
after O IN O
docking O NN O
perfectly O RB O
at O IN O
the O DT O
orbiting O VBG O
outpost B-Building-Grounds NN B-Destination

Transport 3 4	Vehicle 1 2	Artifact 5 6	Destination 8 9	Time-Starting 9 11	
the O DT O
soyuz B-Air NN B-Vehicle
will O MD O
carry O VB B-Transport-T
that O IN O
crew B-Group NN B-Artifact
back O RB O
to O TO O
earth B-Celestial NN B-Destination
may B-Time MD B-Time-Starting
4th I-Time JJ I-Time-Starting

Transport 5 6	Destination 9 10	
it O PRP O
was O VBD O
the O DT O
first O JJ O
manned O JJ O
flight O NN B-Transport-T
to O TO O
the O DT O
space B-Celestial NN O
station B-Building-Grounds NN B-Destination
since O IN O
the O DT O
february B-Time NNP O
first I-Time JJ O
shuttle B-Air NN O
`` O `` O
columbia B-Air NN O
'' O '' O
disaster O NN O

Transfer-Ownership 1 2	Buyer 2 3	Artifact 4 5	Time-Within 5 9	
had O VBD O
sold O VBN B-Transfer-Ownership-T
oconer B-Individual IN B-Buyer
the O DT O
rifle B-Shooting NN B-Artifact
a B-Time DT B-Time-Within
few I-Time JJ I-Time-Within
months I-Time NNS I-Time-Within
before I-Time IN I-Time-Within

Die 12 13	Instrument 9 10	Victim 13 14	
the O DT O
slogan O NN O
makes O VBZ O
for O IN O
a O DT O
powerful O JJ O
bumper O NN O
sticker O NN O
-- O : O
guns B-Shooting NNS B-Instrument
do O VBP O
n't O RB O
kill O VB B-Die-T
people B-Group NNS B-Victim
, O , O
people B-Group NNS O
do O VBP O

Die 7 8	Agent 6 7	
a O DT O
better O JJR O
one O NN O
might O MD O
be O VB O
, O , O
people B-Group NNS B-Agent
do O VBP B-Die-T
and O CC O
people B-Group NNS O
die O VBP O
and O CC O
still O RB O
other O JJ O
people B-Group NNS O
search O VBP O
their B-Group PRP$ O
souls O NNS O
and O CC O
struggle O NN O
for O IN O
redemption O NN O

Die 10 11	Victim 13 14	Agent 15 16	
the O DT O
slogan O NN O
makes O VBZ O
for O IN O
a O DT O
powerful O JJ O
bumper O NN O
sticker O NN O
-- O : O
guns B-Shooting NNS O
do O VBP B-Die-T
n't O RB O
kill O VB O
people B-Group NNS B-Victim
, O , O
people B-Group NNS B-Agent
do O VBP O

Die 10 11	Victim 9 10	
a O DT O
better O JJR O
one O NN O
might O MD O
be O VB O
, O , O
people B-Group NNS O
do O VBP O
and O CC O
people B-Group NNS B-Victim
die O VBP B-Die-T
and O CC O
still O RB O
other O JJ O
people B-Group NNS O
search O VBP O
their B-Group PRP$ O
souls O NNS O
and O CC O
struggle O NN O
for O IN O
redemption O NN O

Die 27 28	Agent 13 15	Victim 29 30	
it O PRP O
was O VBD O
the O DT O
lead O NN O
story O NN O
across O IN O
connecticut B-State-or-Province NN O
in O IN O
early B-Time JJ O
april I-Time NNP O
, O , O
police B-Group NNS O
say O VBP O
jennifer B-Individual NN B-Agent
o'conner I-Individual NN I-Agent
, O , O
a O DT O
connecticut B-State-or-Province NN O
woman B-Individual NN O
with O IN O
a O DT O
history O NN O
of O IN O
psychiatric O JJ O
problems O NNS O
